"Gemeinde_Nr","Gemeinde_Name","Tierversuche_Ja_Anteil","Tierversuche_Nein_Anteil","Tierversuche_Text","Tabakwerbung_Ja_Anteil","Tabakwerbung_Nein_Anteil","Tabakwerbung_Text","Stempelabgaben_Ja_Anteil","Stempelabgaben_Nein_Anteil","Stempelabgaben_Text","Medien_Ja_Anteil","Medien_Nein_Anteil","Medien_Text"
1,"Aeugst am Albis ZH",25.4,74.6,"In Aeugst am Albis hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 74,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat Aeugst am Albis seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 56,5 Prozent ein Ja in die Urne gelegt.",60.3,39.7,"Die Gemeinde Aeugst am Albis hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 60,3 Prozent Ja-Stimmen angenommen. Damit hat in Aeugst am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66,7 Prozent ein Verbot der Tabakwerbung abgelehnt.",39.6,60.4,"Aeugst am Albis ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 60,4 Prozent Nein verworfen.",39,61,"In Aeugst am Albis hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 61 Prozent der abgegebenen Stimmzettel stand ein Nein."
2,"Affoltern am Albis ZH",20.4,79.6,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Affoltern am Albis: Mit 2'581 Nein-Stimmen zu 661 Ja-Stimmen oder 79,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Affoltern am Albis die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 50 Prozent.",61.2,38.8,"61,2 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Affoltern am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,5 Prozent ein Verbot der Tabakwerbung abgelehnt.",35.7,64.3,"In Affoltern am Albis ist das Bundesgesetz über die Stempelabgaben mit 64,3 Prozent gescheitert.",40.8,59.2,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Affoltern am Albis: Mit 1'915 Nein-Stimmen zu 1'321 Ja-Stimmen oder 59,2 Prozent hat die Gemeinde die Vorlage verworfen."
3,"Bonstetten ZH",17.9,82.1,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Bonstetten: Mit 1'585 Nein-Stimmen zu 345 Ja-Stimmen oder 82,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat Bonstetten seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 56,3 Prozent ein Ja in die Urne gelegt.",59.8,40.2,"59,8 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Bonstetten seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,9 Prozent ein Verbot der Tabakwerbung abgelehnt.",36.2,63.8,"In Bonstetten ist das Bundesgesetz über die Stempelabgaben mit 63,8 Prozent gescheitert.",42.8,57.2,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Bonstetten: Mit 1'105 Nein-Stimmen zu 826 Ja-Stimmen oder 57,2 Prozent hat die Gemeinde die Vorlage verworfen."
4,"Hausen am Albis ZH",20.9,79.1,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Hausen am Albis. Die Gemeinde hat das Volksbegehren mit 79,1 Prozent abgelehnt. Damit hat Hausen am Albis seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 53,1 Prozent ein Ja in die Urne gelegt.",57.7,42.3,"Die Gemeinde Hausen am Albis hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 57,7 Prozent angenommen. Damit hat in Hausen am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,6 Prozent ein Verbot der Tabakwerbung abgelehnt.",39.5,60.5,"60,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",41.6,58.4,"Nein zum Massnahmenpaket zugunsten der Medien in Hausen am Albis. Die Gemeinde hat die Vorlage mit 58,4 Prozent abgelehnt."
5,"Hedingen ZH",19.3,80.7,"80,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat Hedingen seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 50,5 Prozent ein Ja in die Urne gelegt.",58.5,41.5,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Hedingen: Mit 58,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Hedingen seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,4 Prozent ein Verbot der Tabakwerbung abgelehnt.",37.1,62.9,"62,9 der Stimmbürgerinnen und Stimmbürger von Hedingen haben das Bundesgesetz über die Stempelabgaben abgelehnt.",44.1,55.9,"55,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zum Massnahmenpaket zugunsten der Medien."
6,"Kappel am Albis ZH",24.1,75.9,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Kappel am Albis: Mit 293 Nein-Stimmen zu 93 Ja-Stimmen oder 75,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Kappel am Albis die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 61,7 Prozent.",49.6,50.4,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Kappel am Albis: Mit 195 Nein-Stimmen zu 192 Ja-Stimmen oder 50,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Kappel am Albis im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 73,8 Prozent.",42.9,57.1,"In Kappel am Albis ist das Bundesgesetz über die Stempelabgaben mit 57,1 Prozent gescheitert.",35.5,64.5,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Kappel am Albis: Mit 247 Nein-Stimmen zu 136 Ja-Stimmen oder 64,5 Prozent hat die Gemeinde die Vorlage verworfen."
7,"Knonau ZH",21.6,78.4,"78,4 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Knonau die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 55,4 Prozent.",56.8,43.2,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Knonau: Mit 56,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Knonau seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,4 Prozent ein Verbot der Tabakwerbung abgelehnt.",36.7,63.3,"63,3 der Stimmbürgerinnen und Stimmbürger von Knonau haben das Bundesgesetz über die Stempelabgaben abgelehnt.",38.6,61.4,"61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zum Massnahmenpaket zugunsten der Medien."
8,"Maschwanden ZH",21.1,78.9,"In Maschwanden hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 78,9 Prozent verworfen. Damit hat in Maschwanden die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 57,7 Prozent.",52.6,47.4,"In Maschwanden hat die Stimmbevölkerung der Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 52,6 Prozent angenommen. Damit hat in Maschwanden seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 57,4 Prozent ein Verbot der Tabakwerbung abgelehnt.",37.1,62.9,"Mit 146 Nein zu 86 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 62,9 Prozent.",42.7,57.3,"In Maschwanden hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 57,3 Prozent verworfen."
9,"Mettmenstetten ZH",19.3,80.7,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Mettmenstetten. Die Gemeinde hat das Volksbegehren mit 80,7 Prozent abgelehnt. Damit hat in Mettmenstetten die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 54,3 Prozent.",58.3,41.7,"Die Gemeinde Mettmenstetten hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 58,3 Prozent angenommen. Damit hat in Mettmenstetten seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66 Prozent ein Verbot der Tabakwerbung abgelehnt.",39.2,60.8,"60,8 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",39.6,60.4,"Nein zum Massnahmenpaket zugunsten der Medien in Mettmenstetten. Die Gemeinde hat die Vorlage mit 60,4 Prozent abgelehnt."
10,"Obfelden ZH",21.5,78.5,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Obfelden. Die Gemeinde hat das Volksbegehren mit 78,5 Prozent abgelehnt. Damit hat Obfelden seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 51,6 Prozent ein Ja in die Urne gelegt.",57.2,42.8,"Die Gemeinde Obfelden hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 57,2 Prozent angenommen. Damit hat in Obfelden seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,6 Prozent ein Verbot der Tabakwerbung abgelehnt.",34.4,65.6,"65,6 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",40.5,59.5,"Nein zum Massnahmenpaket zugunsten der Medien in Obfelden. Die Gemeinde hat die Vorlage mit 59,5 Prozent abgelehnt."
