"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",20,80,0,162,159,"159/162"
2,"Bern","Berne","Berna",21.3,78.7,0,334,111,"111/334"
3,"Luzern","Lucerne","Lucerna",18.9,81.1,18.9,80,80,
4,"Uri","Uri","Uri",17.4,82.6,17.4,19,19,
5,"Schwyz","Schwyz","Svitto",17.7,82.3,17.7,30,30,
6,"Obwalden","Obwald","Obvaldo",16.6,83.4,16.6,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",16.8,83.2,16.8,11,11,
8,"Glarus","Glaris","Glarona",22.2,77.8,22.2,3,3,
9,"Zug","Zoug","Zugo",17.4,82.6,17.4,11,11,
10,"Freiburg","Fribourg","Friburgo",20.7,79.3,20.7,126,126,
11,"Solothurn","Soleure","Soletta",21,79,21,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",17.8,82.2,0,86,78,"78/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",25.6,74.4,25.6,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",23.7,76.3,23.7,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",18.3,81.7,18.3,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",21.9,78.1,21.9,77,77,
18,"Graubünden","Grisons","Grigioni",22.1,77.9,22.1,101,101,
19,"Aargau","Argovie","Argovia",20,80,20,200,200,
20,"Thurgau","Thurgovie","Turgovia",22.1,77.9,22.1,80,80,
21,"Tessin","Tessin","Ticino",31.5,68.5,31.5,108,108,
22,"Waadt","Vaud","Vaud",18.3,81.7,0,300,299,"299/300"
23,"Wallis","Valais","Vallese",18.6,81.4,18.6,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",22.4,77.6,22.4,27,27,
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",22.9,77.1,22.9,53,53,
