"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,11.3,11.3,88.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 88,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat Aeugst am Albis seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 56,5 Prozent ein Ja in die Urne gelegt.","Aeugst am Albis: c'est non à 88,7 pour cent à l'initiative souhaitant interdire l'expérimentation animale. En trente ans, la commune a changé d'avis sur l'expérimentation animale. Le 16 février 1992, elle avait accepté par 56,5 pour cent une initiative lancée par la Protection suisse des animaux (PSA).","Nel comune di Aeugst am Albis l'Iniziativa sulle cure infermieristiche è stata bocciata con il 88,7 percento dei voti. NA"
2,32.9,32.9,67.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Affoltern am Albis: Mit 9'724 Nein-Stimmen zu 4'774 Ja-Stimmen oder 67,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Affoltern am Albis die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 50 Prozent.","L'initiative ""Oui à l'interdiction de l'expérimentation animale et humaine"" ne trouve pas de majorité à Affoltern am Albis. Le texte est rejeté par 67,1 pour cent des voix. Il y a trente ans, les citoyens d'Affoltern am Albis avaient déjà dit non à une initiative similaire. Le refus s'est encore accentué, puisqu'ils étaient alors 50 pour cent à rejeter l'initiative ""pour une réduction stricte et progressive de l'expérimentation animale"".","Con il 67,1 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'Iniziativa sulle cure infermieristiche. A Affoltern am Albis lo scetticismo nei confronti delle norme anti-coronavirus è aumentato nel tempo. Il 13 giugno gli elettori di questo comune avevano detto no - con il 50 percento dei voti – alla legge COVID-19."
3,67.6,67.6,32.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","67,6 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" hat in Bonstetten die Zustimmung zu einem Verbot von Tierversuchen noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 56,3 Prozent.","L'initiative ""Oui à l'interdiction de l'expérimentation animale et humaine"" passe la rampe avec 67,6 pour cent de oui à Bonstetten. Le rejet de l'expérimentation animale a ainsi augmenté en trente ans. Le 16 février 1992, les citoyens de Bonstetten avaient demandé à 56,3 pour cent la fin des expériences sur les animaux.","Con il 67,6 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'Iniziativa sulle cure infermieristiche. A Bonstetten l'accettazione delle norme anti-coronavirus è ulteriormente cresciuta nel corso del tempo. Il 13 giugno gli elettori di questo comune avevano detto sì - con il 56,3 percento dei voti – alla legge COVID-19."
4,87.1,87.1,12.9,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 87,1 Prozent angenommen. Im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" hat in Hausen am Albis die Zustimmung zu einem Verbot von Tierversuchen noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 53,1 Prozent.","A Hausen am Albis, les habitants disent oui à  87,1 pour cent à l'initiative contre l'expérimentation animale. Le rejet de l'expérimentation animale a ainsi augmenté en trente ans. Le 16 février 1992, les citoyens de Hausen am Albis avaient demandé à 53,1 pour cent la fin des expériences sur les animaux.","Nel comune di Hausen am Albis l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 87,1 percento dei voti. A Hausen am Albis l'accettazione delle norme anti-coronavirus è ulteriormente cresciuta nel corso del tempo. Il 13 giugno gli elettori di questo comune avevano detto sì - con il 53,1 percento dei voti – alla legge COVID-19."
5,82.6,82.6,17.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Hedingen: Mit 82,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" hat in Hedingen die Zustimmung zu einem Verbot von Tierversuchen noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 50,5 Prozent.","Hedingen dit oui à 82,6 pour cent à l'initiative ""Oui à l'interdiction de l'expérimentation animale et humaine"". Le rejet de l'expérimentation animale a ainsi augmenté en trente ans. Le 16 février 1992, les citoyens de Hedingen avaient demandé à 50,5 pour cent la fin des expériences sur les animaux.","Sì all'Iniziativa sulle cure infermieristiche nel comune di Hedingen: i cittadini hanno approvato il testo con il 82,6 percento dei voti. A Hedingen l'accettazione delle norme anti-coronavirus è ulteriormente cresciuta nel corso del tempo. Il 13 giugno gli elettori di questo comune avevano detto sì - con il 50,5 percento dei voti – alla legge COVID-19."
6,54.7,54.7,45.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","54,7 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Kappel am Albis im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 61,7 Prozent ein Nein in die Urne gelegt.","L'initiative ""Oui à l'interdiction de l'expérimentation animale et humaine"" passe la rampe avec 54,7 pour cent de oui à Kappel am Albis. Avec ce résultat, Kappel am Albis bascule dans le camp des opposants à l'expérimentation animale: le 16 février 1992, ses citoyens avaient refusé par 61,7 pour cent des voix une initiative similaire.","Con il 54,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'Iniziativa sulle cure infermieristiche. NA"
7,11.2,11.2,88.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","88,8 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Knonau die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 55,4 Prozent.","L'initiative ""Oui à l'interdiction de l'expérimentation animale et humaine"" est refusée à 88,8 pour cent à Knonau. Il y a trente ans, les citoyens de Knonau avaient déjà dit non à une initiative similaire. Le refus s'est encore accentué, puisqu'ils étaient alors 55,4 pour cent à rejeter l'initiative ""pour une réduction stricte et progressive de l'expérimentation animale"".","No all'Iniziativa sulle cure infermieristiche nel comune di Knonau: i cittadini hanno bocciato il testo con il 88,8 percento dei voti. A Knonau lo scetticismo nei confronti delle norme anti-coronavirus è aumentato nel tempo. Il 13 giugno gli elettori di questo comune avevano detto no - con il 55,4 percento dei voti – alla legge COVID-19."
8,9.2,9.2,90.8,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 90,8 Prozent verworfen. Damit hat in Maschwanden die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 57,7 Prozent.","Les habitants de Maschwanden s'opposent à l'initiative demandant l'interdiction de l'expérimentation animale. Ils ont dit non par 90,8 pour cent des voix. Il y a trente ans, les citoyens de Maschwanden avaient déjà dit non à une initiative similaire. Le refus s'est encore accentué, puisqu'ils étaient alors 57,7 pour cent à rejeter l'initiative ""pour une réduction stricte et progressive de l'expérimentation animale"".","I cittadini di Maschwanden si sono opposti all'iniziativa sulle cure infermieristiche. Il testo è stato respinto con il 90,8 percento dei voti. A Maschwanden lo scetticismo nei confronti delle norme anti-coronavirus è aumentato nel tempo. Il 13 giugno gli elettori di questo comune avevano detto no - con il 57,7 percento dei voti – alla legge COVID-19."
9,57,57,43,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 57 Prozent angenommen. Damit hat in Mettmenstetten im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 54,3 Prozent ein Nein in die Urne gelegt.","A Mettmenstetten, les habitants disent oui à  57 pour cent à l'initiative contre l'expérimentation animale. Avec ce résultat, Mettmenstetten bascule dans le camp des opposants à l'expérimentation animale: le 16 février 1992, ses citoyens avaient refusé par 54,3 pour cent des voix une initiative similaire.","Nel comune di Mettmenstetten l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 57 percento dei voti. NA"
10,56.3,56.3,43.7,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Die Gemeinde Obfelden hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 56,3 Prozent angenommen. Im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" hat in Obfelden die Zustimmung zu einem Verbot von Tierversuchen noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 51,6 Prozent.","A Obfelden, les habitants disent oui à  56,3 pour cent à l'initiative contre l'expérimentation animale. Le rejet de l'expérimentation animale a ainsi augmenté en trente ans. Le 16 février 1992, les citoyens d'Obfelden avaient demandé à 51,6 pour cent la fin des expériences sur les animaux.","Nel comune di Obfelden l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 56,3 percento dei voti. A Obfelden l'accettazione delle norme anti-coronavirus è ulteriormente cresciuta nel corso del tempo. Il 13 giugno gli elettori di questo comune avevano detto sì - con il 51,6 percento dei voti – alla legge COVID-19."
